epoch,average_reward,final_reward
838,-15.309861216680684,-10000
839,-33.85697198840001,-10000
840,-4.129671049004941,-10000
841,-48.50970567026894,-10000
842,-9.4021360628172,-10000
843,-50.22828012343578,-10000
844,-10.973008454718729,-10000
845,-87.3645377482872,10000
846,-51.433833015360904,-10000
847,-25.922070551053608,-10000
848,-0.5883340612455427,-10000
849,1.4423974091369018,-10000
850,-61.64220233230379,-10000
851,-0.7941213208516935,-10000
852,-25.081250873656515,-10000
853,-49.75085485269627,-10000
854,-0.86530636294957,-10000
855,-5.163032773365142,-10000
856,-25.43729551871063,-10000
857,3.0030561896919346,-10000
858,-20.37250912053882,-10000
859,-27.99331273788129,-10000
860,-76.3570800339401,-10000
861,-59.237192979156006,-10000
862,-30.440152806048687,-10000
863,-41.87258909590214,0
864,-29.48909331983632,-10000
865,-45.607365121504905,-10000
866,-40.109660609074155,-10000
867,-21.197552227487822,-10000
868,-60.59708953837975,-10000
869,-48.10285000300243,-10000
870,-50.392965071833274,-10000
871,-21.84272567090257,-10000
872,-72.40620179232397,-10000
873,-18.88750580871279,-10000
874,-88.40506331725037,-10000
875,-39.04806431158565,-10000
876,4.45003470363254,-10000
877,-50.64016538986206,10000
878,-2.675257030723318,-10000
879,-15.567897831998936,-10000
880,-29.20338657960647,-10000
881,1.0467150839957737,-10000
882,-55.48611906339585,-10000
883,3.6957158998735795,-10000
884,-90.87804407084089,10000
885,-10.183625067546977,-10000
886,1.8687938960994155,0
887,-54.17694416412578,-10000
888,1.405917482547344,-10000
889,-9.508519613229174,-10000
890,3.813734306306781,-10000
891,-0.1658579322026656,10000
892,3.0555230022987527,-10000
893,-1.8942407386973543,-10000
894,-54.952529428809555,10000
895,-24.51786906854141,-10000
896,-9.347813631243287,-10000
897,-2.541111276349698,-10000
898,2.511981965971571,-10000
899,-35.03021198634914,-10000
900,1.973590647186307,-10000
901,-100.0,-10000
902,-15.838518454063731,-10000
903,-10.853114645344178,-10000
904,-11.79625574546199,-10000
905,-0.6984573474360981,-10000
906,-18.83079986425727,-10000
907,-17.60903228398222,-10000
908,-3.2646692744454366,-10000
909,-68.84021351792704,10000
910,-49.85701771928099,-10000
911,-31.494372556500945,-10000
912,-17.53459981670312,-10000
913,-55.89055798733843,-10000
914,-52.600745976420185,-10000
915,-6.167567476783892,10000
916,-100.0,-10000
917,-18.654377485771818,10000
918,-16.61246267982686,-10000
919,-54.60649615748268,-10000
920,-57.30150130577915,-10000
921,-75.35171760311319,-10000
922,-22.51005296150897,-10000
